Title,Abstract
Bioanalytic System Business Methods,"Business methods useful for identifying, and marketing or commercializing glycomics-related diagnostic, therapeutic and/or imaging probe products are disclosed. Patient test samples are screened for the presence of glycan-binding moieties to produce binding data. Binding data is collected into a database. One or more bioinformatic algorithms are used to process the collected binding data to identify one or more diagnostic, therapeutic or imaging probe products. Identified products are collaboratively or independently, marketed or commercialized. Business methods are also provided for marketing or commercializing products for producing oligosaccharides, reactive antibody products, and monoclonal antibody cocktail products. Business methods of conducting glycomics-related cancer trials are also disclosed."
METHOD FOR INDUCING A TOLEROGENIC IMMUNE RESPONSE,"The subject technology relates generally to compositions and methods for producing plasmid DNA of a desired quality. In addition, it relates to the discovery of Escherichia coli (E. coli) bacteria with a constitutive methylase gene stably incorporated into the chromosomal DNA and uses thereof."
AN IRRADIATION METHOD AND SYSTEM,"An irradiation method and system for irradiating a target volume, the method comprising: providing thermal neutron absorbing nuclides (such as in the form of a high neutron cross-section agent) at the target volume"
BACTERIOPHAGE COMPOSITIONS AND METHODS FOR TREATMENT OF BACTERIAL INFECTIONS,"Disclosed are compositions, devices, kits, and methods for treatment of Enterobacteriaceae infection. Aspects of the present disclosure are directed to bacteriophage compositions comprising one or more of ES17, ES19, HP3, HP3.1, and HP3.2. Certain aspects of the disclosure are directed to compositions comprising (a) bacteriophage ES17 or bacteriophage ES19, (b) bacteriophage HP3, and (c) bacteriophage HP3.1. Also disclosed are compositions comprising bacteriophage HP 3.2. Further disclosed are devices and kits comprising such compositions and methods for use of such compositions in treatment and prevention of pathogenic E. coli infection."
ENHANCING CLASS I ANTIGEN PRESENTATION WITH SYNTHETIC SEQUENCES,"The invention relates generally to the treatment and prevention of human cancer and viral diseases. More specifically, this invention relates to development of a new generation of vaccines that rely on eliciting cellular immune responses, specifically induction of cytotoxic T lymphocytes (CTL), against cancer cells and virus-infected cells via administration of a vaccine comprising a fusion peptide or a modified peptide. Such a fusion peptide is composed of an insertion signal sequence and a peptide derived from a tumor antigen or a viral antigen, which improves antigen presentation and induces CTL with higher efficiency against cancer cells and virus-infected cells. An exemplary antigen utilized in the invention is HER2/neu. The peptides peptide vaccines of the invention are derived from the antigens PRAME, OFA/iLRP, STEAP and SURVIVIN."
ADJUSTED MULTI-BIOMARKER DISEASE ACTIVITY SCORE FOR INFLAMMATORY DISEASE ASSESSMENT,"Provided herein are methods for assessing response to inflammatory disease therapy. The methods include performing immunoassays to generate scores based on quantitative data for expression of biomarkers relating to inflammatory biomarkers to assess disease activity in inflammatory diseases, e.g., rheumatoid arthritis. Also provided are methods of adjusting disease activity scores to account for variables that can influence such scores."
"USE OF DIANHYDROGALACTITOL AND DERIVATIVES THEREOF IN THE TREATMENT OF GLIOBLASTOMA, LUNG CANCER, AND OVARIAN CANCER","Substituted hexitol derivatives such as dianhydrogalactitol are useful in the treatment of various neoplastic pathologies. Said pathologies include glioblastoma multiforme, non-small-cell lung carcinoma (NSCLC), ovarian cancer, and leptomeningeal carcinomatosis. The anti-neoplastic activity of dianhydrogalactitol is demonstrated to be due to its activity as an alkylating agent that creates N7 methylation and inter-strand DNA crosslinks. The hexitol derivatives may be used alone or in combination with other anti-neoplastic agents."
BIOMARKERS AND METHODS FOR ASSESSING RESPONSE TO INFLAMMATORY DISEASE THERAPY,"Provided herein are methods for assessing response to inflammatory disease therapy. The methods include performing immunoassays at different time periods to generate scores based on quantitative data for expression of biomarkers relating to inflammatory biomarkers. The methods further include recommending optimal therapeutic regimens, in particular disease modifying anti-rheumatic drugs or biologics, based on changes to the scores."
DEGRADATION DOMAIN MODIFICATIONS FOR SPATIO-TEMPORAL CONTROL OF RNA-GUIDED NUCLEASES,The disclosure includes non-naturally occurring or engineered CRISPR Cas variant proteins comprising one or more functional domains and degrader compositions specifically targeting the CRISPR Cas variant proteins
DETECTION OF GENE POLYMORPHISMS,"Provided herein, inter alia, are methods of detecting single polypeptide polymorphisms in a subject by detecting a G191A NAT2 SNP, a C282T NAT2 SNP, a T341C NAT2 SNP, a G590A NAT2 SNP and a G857A NAT2 SNP in a biological sample, wherein the subject is taking an arylamine drug or a hydrazine drug or the subject is in need of an arylamine drug or a hydrazine drug. The subject can have a tuberculosis infection and the drug can be isoniazid. Also provided are related kits."
"USE OF DIANHYDROGALACTITOL OR DERIVATIVES AND ANALOGS THEREOF FOR TREATMENT OF NON-SMALL-CELL LUNG CARCINOMA, GLIOBLASTOMA, AND OVARIAN CARCINOMA BY INDUCTION OF DNA DAMAGE AND STALLING OF CELL CYCLE","The use of dianhydrogalactitol provides a novel therapeutic modality for the treatment of glioblastoma, non-small-cell lung carcinoma (NSCLC) and ovarian cancer, as well as other types of malignancy, including brain metastases of NSCLC. Dianhydrogalactitol acts as an alkylating agent on DNA that creates N7 methylation and inter-strand crosslinks that can induce double-stranded breaks in DNA. Dianhydrogalactitol is effective in suppressing the growth of cancer stem cells and is active against tumors that are refractory to temozolomide, cisplatin, and tyrosine kinase inhibitors"
METHODS FOR THE IDENTIFICATION OF SARM1 NADASE ACTIVITY INHIBITORS AND USES THEREOF,"The present disclosure provides screening methods for identifying a sterile α and HEAT/armadillo motif-containing protein-1 (SARM1) NADase modulator, specifically, inhibitor, using at least one full length or near full length catalytically active SARM1 or any fragment or variant thereof. The present disclosure further provides SARM inhibitors identified by the screening methods, and therapeutic compositions and methods for treating, conditions or disorders associated directly or indirectly with axonal and/or cellular degradation."
METHODS AND COMPOSITIONS FOR INHIBITING AND TREATING NEUROLOGICAL CONDITIONS,This document provides methods and materials related to treating subjects having specific genetic variations associated with neurological disorders such as Parkinson's disease.
In Vivo Live 3D Printing of Regenerative Bone Healing Scaffolds for Rapid Fracture Healing,"Bio-Inks and methods of using compositions comprising the bio-Inks are disclosed. 3-D tissue repair and regeneration through precise and specific formation of biodegradable tissue scaffolds in a tissue site using the bio-inks are also provided. Specific methylacrylated gelatin hydrogels (MAC) and methacrylated chitosan (MACh) preparations formulated with sucrose, a silicate-containing component (such as laponite), and/or a cross-linking agent (such as a photo-initiator or chemical initiator), as well as powdered preparations of these, are also disclosed. Kits containing these preparations are provided for point-of-care tissue repair in vivo. Superior, more complete (up to 99.85% tissue regeneration within 4 weeks applied in situ), and rapid in situ tissue repair and bone formation are also demonstrated."
Compositions to improve the therapeutic benefit of bisantrene and analogs and derivatives thereof,"The present invention describes methods and compositions for improving the therapeutic efficacy of therapeutic agents previously limited by suboptimal therapeutic performance by either improving efficacy as monotherapy or reducing side effects. Such methods and compositions are particularly applicable to bisantrene or derivatives, analogs, or prodrugs thereof. Such methods and compositions are particularly useful for treatment of malignancies."
Vehicles For Controlled Delivery of Different Pharmaceutical Agents,"A “nanolipogel” is a delivery vehicle including one or more lipid layer surrounding a hydrogel core, which may include an absorbent such as a cyclodextrin or ion-exchange resin. Nanolipogels can be constructed so as to incorporate a variety of different chemical entities that can subsequently be released in a controlled fashion. These different incorporated chemical entities can differ dramatically with respect to size and composition. Nanolipogels have been constructed to contain co-encapsulated proteins as well as small hydrophobic drugs within the interior of the lipid bilayer. Agents incorporated within nanolipogels can be released into the milieu in a controlled fashion, for example, nanolipogels provide a means of achieving simultaneous sustained release of agents that differ widely in chemical composition and molecular weight. Additionally, nanolipogels can favorably modulate biodistribution."
ENZYMATIC SYNTHESIS OF POLY(AMINE-CO-ESTERS) AND METHODS OF USE THEREOF FOR GENE DELIVERY,"Poly(amine-co-ester) polymers, methods of forming active agent-load nanoparticles therefrom, and methods of using the nanoparticles for drug delivery are disclosed. The nanoparticles can be coated with an agent that reduces surface charge, an agent that increases cell-specific targeting, or a combination thereof. Typically, the loaded nanoparticles are less toxic, more efficient at drug delivery, or a combination thereof compared to a control other transfection reagents. In some embodiments, the nanoparticles are suitable for in vivo delivery, and can be administered systemically to a subject to treat a disease or condition."
MARKERS OF RESISTANCE AND DISEASE TOLERANCE AND USES THEREOF,"The present disclosure provides methods for evaluating the immunological state in a subject by determining the levels of resistance and/or disease tolerance of the subject, using specific signatory biomarkers for disease tolerance and resistance. The present disclosure further provides diagnostic compositions and kits, as well as therapeutic methods based on manipulating the expression of the disclosed resistance and/or disease-tolerance biomarkers to modulate the immunological state and disease outcome."
USING TARGETED RADIOTHERAPY (TRT) TO DRIVE ANTI-TUMOR IMMUNE RESPONSE TO IMMUNOTHERAPIES,"The disclosed method of treating a malignant solid tumor in a subject includes the steps of administering to the subject an immunomodulatory dose of a radioactive phospholipid ether metal chelate, a radiohalogenated phospholipid ether, or other targeted radiotherapy (TRT) agent that is differentially retained within malignant solid tumor tissue, and performing immunotherapy in the subject by systemically administering to the subject an immunostimulatory agent, such as an immune checkpoint inhibitor. In a non-limiting example, the radioactive phospholipid ether metal chelate or radiohalogenated phospholipid ether has the formula: wherein R1 comprises a chelating agent that is chelated to a metal atom, wherein the metal atom is an alpha, beta or Auger emitting metal isotope with a half-life of greater than 6 hours and less than 30 days, or wherein R1 comprises a radioactive halogen isotope. In one such embodiment, a is 1, n is 18, m is 0, b is 1, and R2 is -N+(CH3)3."
Using targeted radiotherapy (TRT) to drive anti-tumor immune response to immunotherapies,"The disclosed method of treating a malignant solid tumor in a subject includes the steps of administering to the subject an immunomodulatory dose of a radioactive phospholipid ether metal chelate, a radiohalogenated phospholipid ether, or other targeted radiotherapy (TRT) agent that is differentially retained within malignant solid tumor tissue, and either (a) performing in situ tumor vaccination in the subject by introducing into at least one of the malignant solid tumors one or more agents capable of stimulating specific immune cells within the tumor microenvironment, or (b) performing immunotherapy in the subject by systemically administering to the subject an immunostimulatory agent, such as an immune checkpoint inhibitor. In a non-limiting example, the radioactive phospholipid ether metal chelate or radiohalogenated phospholipid ether has the formula:wherein R1 comprises a chelating agent that is chelated to a metal atom, wherein the metal atom is an alpha, beta or Auger emitting metal isotope with a half-life of greater than 6 hours and less than 30 days, or wherein R1 comprises a radioactive halogen isotope. In one such embodiment, a is 1, n is 18, m is 0, b is 1, and R2 is —N+(CH3)3."
Using Targeted Radiotherapy (TRT) to Drive Anti-Tumor Immune Response to Immunotherapies,"wherein R1 comprises a chelating agent that is chelated to a metal atom, wherein the metal atom is an alpha, beta or Auger emitting metal isotope with a half-life of greater than 6 hours and less than 30 days, or wherein R1 comprises a radioactive halogen isotope. In one such embodiment, a is 1, n is 18, m is 0, b is 1, and R2 is —N+(CH3)3."
Optical biomodule for detection of diseases at an early onset,"Additionally, chemical compositions and targeted, passive and programmable/active delivery (in near real-time/real-time) of bioactive compounds and/or bioactive molecules for lowering the risks of Alzheimer's, Cardiovascular and Type-2 Diabetes diseases are disclosed."
Optical biomodule for detection of diseases at an early onset,"An optical biomodule for detecting a disease specific biomarker(s), utilizing enhanced fluorescence emission (due to integration of a three-dimensional (3-D) protruded structure (s)) in a fluidic container/zero-mode waveguide, upon chemical binding of a disease specific biomarker(s) with its corresponding disease specific biomarker binder(s) (e.g., an aptamer(s)) is disclosed."
METHODS AND MATERIALS FOR ASSESSING AND TREATING CANCER,"Provided herein are methods and materials for detecting and/or treating subject (e.g. a human) having cancer. In some embodiments, methods and materials for identifying a subject as having cancer (e.g., a localized cancer) are provided in which the presence of member(s) of two or more classes of biomarkers are detected. In some embodiments, methods and materials for identifying a subject as having cancer (e.g. a localized cancer) are provided in which the presence of member(s) of at least one class of biomarkers and the presence of aneuploidy are detected. In some embodiments, methods described herein provide increased sensitivity and/or specificity in the detection of cancer in a subject (e.g. a human)."
METHODS AND MATERIALS FOR ASSESSING AND TREATING CANCER,"Provided herein are methods and materials for detecting and/or treating subject (e.g., a human) having cancer. In some embodiments, methods and materials for identifying a subject as having cancer (e.g., a localized cancer) are provided in which the presence of member(s) of two or more classes of biomarkers are detected. In some embodiments, methods and materials for identifying a subject as having cancer (e.g., a localized cancer) are provided in which the presence of member(s) of at least one class of biomarkers and the presence of aneuploidy are detected. In some embodiments, methods described herein provide increased sensitivity and/or specificity in the detection of cancer in a subject (e.g. a human)."
"3-PHENYL-2-CYANO-AZETIDINE DERIVATIVES, INHIBITORS OF RNA-GUIDED NUCLEASE ACTIVITY","3-Phenyl-2-cyano-azetidine derivatives and methods are provided for the inhibition of the function of RNA guided endonucleases, including the identification and use of such inhibitors. Methods of identifying inhibitor compounds of RNA guided nucleases, assays for detecting nuclease activity and compounds for use therein are also provided."
DETERMINING CANCER RESPONSIVENESS TO TREATMENT,"The present disclosure relates to cancer and more particularly, methods of treating and/or determining the responsiveness to treatment and/or prognosis of cancers, such as lung cancer and breast cancer."
ADOPTIVE IMMUNOTHERAPY,"Disclosed herein is the use of a first population of allogeneic T-cells recognizing a first EBV epitope, and a second allogeneic population recognizing a second EBV epitope in the treatment of EBV-associated disorders. Also dislosed is the use of a population of allogeneic T-cells recognizing an EBV antigen in combination with a further therapeutic agent such as an immunotherapeutic agent, a MAPK, BET or MEK. pathway inhibitor for treating EBV-associated disease."
ADOPTIVE IMMUNOTHERAPY,"Disclosed herein is the use of a first population of allogeneic T-cells recognizing a first EBV epitope, and a second allogeneic population recognizing a second EBV epitope in the treatment of EBV-associated disorders. Also disclosed is the use of a population of allogeneic T-cells recognizing an EBV antigen in combination with a further therapeutic agent such as an immunotherapeutic agent, a MAPK, BET or MEK. pathway inhibitor for treating EBV-associated disease."
System for targeted delivery of therapeutic agents,"The present invention provides a drug delivery system for targeted delivery of therapeutic agent-containing particles to tissues, cells, and intracellular compartments. The invention provides targeted particles comprising a particle, one or more targeting moieties, and one or more therapeutic agents to be delivered and pharmaceutical compositions comprising inventive targeted particles. The present invention provides methods of designing, manufacturing, and using inventive targeted particles and pharmaceutical compositions thereof."
Methods for the treatment of cysteamine sensitive disorders,The invention features methods for the treatment of cystinosis and other cysteamine sensitive disorders in a subject including administration of a disulfide convertible to cysteamine in vivo. The methods can include the separate administration of a reducing agent to the subject to increase the bioavailablity and extend the plasma pharmacokinetic profile of the cysteamine produced following administration of the disulfide. The methods permit sustained cysteamine plasma concentrations in a subject.
DIAGNOSTICS AND THERAPEUTICS FOR CARDIOVASCULAR DISORDERS,"The methods of the present invention relate to the diagnosis of cardiovascular disorders. In one aspect, the specification discloses methods for determining a subject's predisposition to increased risk for myocardial infarction."
DIAGNOSTIC AND THERAPEUTICS FOR CARDIOVASCULAR DISORDERS,"The kits and methods of the present invention relate to the diagnosis of cardiovascular disorders. In one aspect, the invention discloses a method and a kit for determining whether a subject has a fragile plaque disorder. In one aspect, the invention discloses a method and a kit for determining whether the subject has an occlusive disorder. In one aspect, the invention discloses a method and a kit for determining whether the subject has a restenosis disorder. Other methods of the present invention relate to the selection of therapeutics for a patient with a cardiovascular disease."
"SYSTEMS, METHODS, AND COMPOSITIONS FOR TARGETED NUCLEIC ACID EDITING","The invention provides for systems, methods, and compositions for targeting and editing nucleic acids. In particular, the invention provides non-naturally occurring or engineered DNA-targeting systems comprising a DNA-targeting Cpf1 protein, at least one guide molecule, and at least one cytidine deaminase protein or catalytic domain thereof."
NIRAPARIB SALTS,"Novel salts of niraparib are provided. Also provided are pharmaceutical compositions comprising those salts, as well as methods and uses pertaining to the same."
ORAL APPLIANCE FOR TREATING INFLAMED TISSUE OF THE ORAL CAVITY USING THE TOP-DOWN METHOD,"An oral appliance for delivering a medicament to an inflamed tissue inside an oral cavity is provided. The oral appliance has an interior surface configured to contour at least a portion of teeth and/or soft tissue areas inside the oral cavity, the interior surface of the oral appliance having a medicament disposed at a discrete region of the interior surface of the oral appliance, the medicament configured to contact a top portion of the inflamed tissue inside the oral cavity when the oral appliance is worn to cause delivery of the medicament to at least the top portion of the inflamed tissue. A method of making the oral appliance and a method of treating an inflamed tissue inside an oral cavity using the oral appliance is also provided."
DOSAGE REGIME OF FUSION COMPOUNDS,"Use of at least one fusion protein comprising at least one Type 1 Ribosome Inactivating Protein, polypeptide B"
BIOMARKERS AND METHODS FOR ASSESSING PSORIATIC ARTHRITIS DISEASE ACTIVITY,"Provided herein are biomarkers and methods for generating scores useful for assessing psoriatic arthritis (PsA) disease activity in subjects previously diagnosed with PsA. The invention also provides predictive model methods based on the biomarkers, as well as computer systems, software embodiments of the models for scoring and optionally classifying samples, and methods of recommending optimal therapeutic regimens."
COMPOSITIONS AND METHODS OF USE FOR TREATMENT OR IMPROVEMENT OF THE CONDITION AND APPEARANCE OF SKIN,"The present invention relates to compositions, formulations and methods of use thereof for treating, preventing and improving the condition and aesthetic appearance of skin. The present invention also relates to compositions, formulations and methods of use thereof for treatment of dermis wounds, aged dermis, diseased dermis or damaged dermis. The present compositions and formulations comprise a peptide with an amino acid sequence of QHREDGS (SEQ ID NO: 1) and methods of use thereof."
PHARMACEUTICAL COMPOSITIONS OF SELECTIVE ANDROGEN RECEPTOR MODULATORS AND METHODS OF USE THEREOF,"This invention provides a pharmaceutical composition comprising Compound I-V, including inter alia solid dosage forms of powder-filled capsule formulations, liquid-filled softgel capsules (softgels), tablets, and sustained release dosage forms, and uses thereof in treating a variety of diseases or conditions in a subject, for example, treating a muscle wasting disease and/or disorder, a bone related disease and/or disorder, metabolic syndrome, diabetes and associated diseases, and others."
INHIBITORS OF RNA-GUIDED NUCLEASE ACTIVITY AND USES THEREOF,"Compositions and methods are provided for the inhibition of the function of RNA guided endonucleases, including the identification and use of such inhibitors. Methods of identifying inhibitor compounds of RNA guided nucleases, assays for detecting nuclease activity and compounds for use therein are also provided."
"METHODS AND COMPOSITIONS FOR DIAGNOSING, PROGNOSING, AND TREATING NEUROLOGICAL CONDITIONS","This document provides methods and materials related to genetic variations of neurological disorders. For example, this document provides methods for using such genetic variations to assess susceptibility of developing Parkinson's disease."
"SYSTEMS, METHODS, AND COMPOSITIONS FOR TARGETED NUCLEIC ACID EDITING","The invention provides for systems, methods, and compositions for targeting and editing nucleic acids. In particular, the invention provides non-naturally occurring or engineered DNA-targeting systems comprising a DNA-targeting Cpfl protein, at least one guide molecule, and at least one cytidine deaminase protein or catalytic domain thereof."
2-OXOTHIAZOLIDIN-4-ONE DERIVATIVES ACTIVE AS TRANSTHYRETIN LIGANDS AND USES THEREOF,"Compounds of formula (II) are provided for stabilizing protein transthyretin (TTR) and inhibiting amyloid fibril formation, for example, transthyretin-mediated amyloid fibril formation, and for treating, preventing, or ameliorating one or more symptoms of amyloid diseases, for example, transthyretin-related amyloidosis (ATTR)."
Spectroscopic tomography systems and methods for noninvasive detection and measurement of analytes using collision computing,"In a noninvasive system for detection/measurement of analytes in tissue, spectra from the medium are deconstructed into features. Conditioned features, which contain frequency components specific to the analytes, are derived from one or more features after modulating a carrier kernel with the feature. The conditioned features are computationally collided with one or more Zyotons that are co-dependent with the conditioned features. One or more collisions amplify the energy absorbed by the analyte from radiation directed to the tissue. The value of the amplified energy is transformed into an accurate estimate of the concentration of the analyte. Depending on the analyte type, a particular tissue region is targeted and/or one or more parameters of the computational collision are selected."
Curaxins for use in treating carcinogen-induced cancer,"The present invention relates to the treatment of breast cancer which is estrogen receptor positive (ER+) and/or human epidermal growth factor receptor 2 positive (HER2) and/or progesterone receptor positive (PR) and/or facilitates chromatin transcription positive (FACT+) with a curaxin, including curaxin 137. The present invention also pertains to a method of identifying a subject who has a breast cancer tumor and is likely to respond to treatment with a curaxin."
BIOMARKERS AND METHODS FOR ASSESSING RESPONSE TO INFLAMMATORY DISEASE THERAPY WITHDRAWAL,"Provided herein are methods for assessing response to inflammatory disease therapy. The methods include placing a subject on a therapeutic regimen and subsequently performing an immunoassay to generate a score based on quantitative data for expression of biomarkers relating to inflammatory biomarkers. The methods further include recommending that the subject either remains on the therapeutic regimen, or is removed from the therapeutic regimen, based on the score."
INTRANASAL FORMULATIONS AND DELIVERY OF SOMATOSTATIN MIMETICS AND USES THEREOF,"Methods and pharmaceutical compositions are provided for treating idiopathic intracranial hypertension (IIH) and cluster headache, wherein a somatostatin mimetic formulated for intranasal administration is administered, including direct nose-to-brain administration."
BIOMARKERS AND METHODS FOR ASSESSING RESPONSE TO INFLAMMATORY DISEASE THERAPY,"Provided herein are methods for assessing response to inflammatory disease therapy. The methods include performing immunoassays to generate scores based on quantitative data for expression of biomarkers relating to inflammatory biomarkers to assess disease activity in inflammatory diseases, e.g., rheumatoid arthritis. Also provided are uses of inflammatory biomarkers for guiding treatment decisions."
CURAXINS FOR USE IN TREATING BREAST CANCER AND METHOD FOR IDENTIFYING PATIENTS LIKELY TO RESPOND,"The present invention relates to the treatment of breast cancer which is estrogen receptor positive (ER+) and/or human epidermal growth factor receptor 2 positive (HER2) and/or progesterone receptor positive (PR) and/or facilitates chromatin transcription positive (FACT +) with a curaxin, including curaxin 137. The presen invention also pertains to a method of identifying a subject who has a breast cancer tumor and is likely to respond to treatment with a curaxin."
BIOMARKERS AND METHODS FOR PREDICTING RESPONSE TO DISCONTINUATION OF INFLAMMATORY DISEASE THERAPY,"Provided herein are methods for assessing response to inflammatory disease therapy. The methods include performing immunoassays to generate scores based on quantitative data for expression of biomarkers relating to inflammatory biomarkers to predict flare and sustained remission. The methods further include recommending discontinuation of a therapeutic regimen, or no change in a therapeutic regimen, based on the predictions generated by the quantitative data."
Nonjacketing side-entry connectors and prosthetic disorder response systems,"Provided is a connector suitable for securely infixing a catheter, electrode, hollow needle, probe, or other styliform device with its tip stabilized within a nontubular anatomical structure. Secure junctions between fluid lines and/or electrodes and tissue are essential for automatic controls and permanent nephrostomies and suprapubic cystostomies, for example, using synthetic materials. These can be made self-contained and fully implanted to treat one chronic condition, or represent but one module controlled as an axis or channel of control in an adaptive ambulatory hierarchical prosthetic disorder response system used to automatically coordinate the treatment of chronic comorbid disease. Such applications require prosthesis-to-native tissue junctions which are secure, immobile, unsusceptible to leaks or microbial intrusion, and require little if any maintenance. Connection for securely and least disruptively merging catheteric and native lumina is described in nonprovisional application Ser. No. 14/121,365, entitled Ductus Side-entry Jackets and Prosthetic Disorder Response Systems, filed on 25 Aug. 2014."
HUMANIZED ANTI-HUMAN-PD-1 ANTIBODY,"Described herein are humanized anti-PD-1 antibodies, nucleic acids encoding such, and uses thereof in enhancing immune responses by activating T cells and treating diseases such as cancer and an infectious disease."
Methods of treating inflammatory and autoimmune diseases and disorders using nanolipogels,"Compositions and methods for treating or ameliorating the symptoms of inflammatory or autoimmune disease or disorder are described herein. The compositions contain a nanolipogel for sustained delivery of an effective amount of one or more active agents of choice, preferably a drug for treating or ameliorating the symptoms of inflammatory or autoimmune disease or disorder. The nanolipogel includes a lipid bilayer surrounding a hydrogel core, which may optionally include a host molecule, for example, an absorbent such as a cyclodextrin or ion-exchange resin. In preferred embodiments at least one of active agents is an immunosuppressant."
IMMUNOTHERAPY OF CANCER UTILIZING NATURAL KILLER CELLS TREATED WITH CHEMICALLY MODIFIED OLIGONUCLEOTIDES,"The disclosure relates, in some aspects, to compositions comprising oligonucleotide agents capable of inhibiting suppression of an immune response by reducing expression of one or more genes involved with an immune suppression mechanism in natural killer (NK) cells, and methods of using the same. In some embodiments, compositions and methods described by the disclosure are useful as immunogenic modulators for treating cancer."
Methods of treating inflammatory and autoimmune diseases and disorders,"Compositions and methods for treating or ameliorating the symptoms of inflammatory or autoimmune disease or disorder are described herein. The compositions contain a nanolipogel for sustained delivery of an effective amount of one or more active agents of choice, preferably a drug for treating or ameliorating the symptoms of inflammatory or autoimmune disease or disorder. The nanolipogel includes a lipid bilayer surrounding a hydrogel core, which may optionally include a host molecule, for example, and absorbent such as a cyclodextrin or ion-exchange resin. In preferred embodiments at least one of active agents is an immunosuppressant."
COMPOSITIONS AND METHODS FOR TREATING CHRONIC WOUNDS,The described invention provides pharmaceutical compositions and methods for treating chronic non-healing wounds. The pharmaceutical compositions of the described invention comprise a granulated sugar and a hydrogel biomaterial.
COMPOSITIONS FOR CONTROLLED RELEASE OF CYSTEAMINE AND SYSTEMIC TREATMENT OF CYSTEAMINE SENSITIVE DISORDERS,"The invention features compositions, methods, and kits containing (i) one or more cysteamine precursor compounds convertible to cysteamine in vivo, and (ii) optionally agents to enhance that conversion, formulated to produce a spectrum of pharmacokinetic profiles of cysteamine that can be tailored to individual patients and diseases. The invention also features varying modes of administration of the therapeutic substances in the treatment of cystinosis and other cysteamine sensitive disorders. In particular, formulations combining active ingredient(s) with pharmaceutical excipients that permit sustained cysteamine plasma concentrations are featured."
2-THIOXOTHIAZOLIDIN-4-ONE DERIVATIVES ACTIVE AS TRANSTHYRETIN LIGANDS AND USES THEREOF,"Compounds are provided for stabilizing protein transthyretin (TTR) and inhibiting amyloid fibril formation, for example, transthyretin-mediated amyloid fibril formation, and for treating, preventing, or ameliorating one or more symptoms of amyloid diseases, for example, transthyretin-related amyloidosis (ATTR)."
Artificial Brain Tissue,"The present invention provides, among other things, powerful new tools for therapeutic and research uses in the central and/or peripheral nervous system. The present invention provides, inter alia, compositions including a plurality of human nerve cells, a plurality of glial cells, and silk fibroin, as well as methods for making and using such compositions."
Methods and systems for the detection of analytes,"Provided herein are methods and devices for the detection of analytes. The methods employ particles formed from a first metal conjugated to analytes. The analyte conjugated to the particle formed from the first metal can be accumulated at a working electrode. The first metal can be galvanically exchanged with ions of a second metal to form a layer of the first metal at the working electrode. The first metal can then be electrochemically detected and/or quantified. Using this method, analytes can be detected at low concentrations a few femtomolar via anodic stripping voltammetry, with no washing steps or electrode modifications."
Mesoporous silica nanoparticles with a lipid bilayer coating for cargo delivery,"A nanocarrier including a silica body having a surface and defining a plurality of pores that are suitable to receive molecules therein is described. The nanocarrier also includes a lipid bilayer coating the surface, and a cargo-trapping agent within the phospholipid bilayer. The phospholipid bilayer stably seals the plurality of pores. The cargo-trapping reagent can be selected to interact with a desired cargo, such as a drug."
OPTIMIZED NUCLEIC ACID MOLECULES,"The present invention provides optimized nucleic acid molecules, methods for optimization of nucleic acid molecules and uses of optimized nucleic acid molecules. A modular design principle is provided that is suitable to generate a nucleic acid, particularly mRNA, which is tailored for a respective application. The nucleic acid molecules of the present invention can be obtained by the versatile combination of multiple modules on nucleic acid level. Such nucleic acid, e.g. mRNA, can be tailored by combining one or more modules, comprising (i) a nucleic acid moiety encoding a polypeptide of interest (e.g. a protein potentially producing a therapeutic outcome) and (ii) at least one further coding or non-coding nucleic acid moiety, e.g. selected among nucleic acid moieties encoding a polypeptide element, such as a secretory signal peptide (SSP), a multimerization element (dimerization, trimerization, tetramerization and oligomerization), a virus like particle (VLP) forming element, a transmembrane element, a dendritic cell targeting element, an immunological adjuvant element, an element promoting antigen presentation"
"SYSTEMATIC SCREENING AND MAPPING OF REGULATORY ELEMENTS IN NON-CODING GENOMIC REGIONS, METHODS, COMPOSITIONS, AND APPLICATIONS THEREOF","The application relates to methods for identifying putative regulatory elements that regulates a gene, comprising: obtaining a measure of intrinsic activity of a plurality of genomic elements"
CRISPR CPF1 DIRECT REPEAT VARIANTS,"The present invention generally relates to systems, methods and compositions related to Clustered Regularly Interspaced Short Palindromic Repeats (CRISPR) and components thereof. Provided herein are engineered Cpf1 polynucleotides that can direct the activity of a CRISPR protein to multiple targets using a single crRNA. The guide sequences can target a sequence in a eukaryotic cell, for example, an animal or a plant cell. The animal cell can be a human or a nonhuman cell. Additionally, the present invention relates to methods for developing or designing CRISPR-Cas system-based therapy or therapeutics."
POLY(AMINE-CO-ESTER) POLYMERS WITH MODIFIED END GROUPS AND ENHANCED PULMONARY DELIVERY,"Poly(amine-co-ester) polymers, methods of forming active agent-load polyplexes and particles therefrom, and methods of using them for delivery of nucleic acid agents with optimal uptake have been developed. Examples demonstrate critical molecular weights in combination with exposed carboxylic and/or hydroxyl groups, and methods of making. Typically, the compositions are less toxic, more efficient at drug delivery, or a combination thereof compared to a control other transfection reagents. In some embodiments, the compositions are suitable for in vivo delivery, and can be administered systemically to a subject to treat a disease or condition. For poly(amine-co-ester) polymers with specific amine or hydroxyl group containing end-groups in admixture with PEGylated poly(amine-co-ester) polymers, in vivo delivery to the lung by inhalation has been shown."
